"Reference","Value","Footprint","Datasheet","Part","Qté"
"C1-C3, C6-C11, C13","68uF 20V","Capacitor_Tantalum_SMD:CP_EIA-7343-30_AVX-N_Pad2.25x2.55mm_HandSolder","~","AVX, TPSE686M020R0150","10"
"C4, C5","4u7F 50V","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","WIMA, MKS2B044701K00K","2"
"C12","150pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","AVX, 12065A151JAT2A","1"
"C14","120pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","AVX, 12065A121JAT2A","1"
"C15-C17, C19-C22, C24, C25, C28, C29, C32-C34","100uF 6V3","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","MURATA, GRM31CR60J107ME39L","14"
"C18, C39, C44, C49, C54","22pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","AVX, 12065A220JAT2A","5"
"C23","100pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","AVX, 12065A101JAT2A","1"
"C26","1500pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","AVX, 12065A152JAT2A","1"
"C27","1200pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","AVX, 12065A122JAT2A","1"
"C30","220pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","AVX, 12065A221JAT2A","1"
"C31","1000pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","AVX, 12065A102JAT2A","1"
"C35-C38, C42, C43, C47, C48, C52, C53, C57, C58","1uF","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","WIMA, MKS2C041001F00K","12"
"C40, C45, C50, C55","330uF 6V3","Capacitor_Tantalum_SMD:CP_EIA-7343-30_AVX-N_Pad2.25x2.55mm_HandSolder","~","AVX, TPSD337M006R0100","4"
"C41, C46, C51, C56","300pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","AVX, 08053C301JAT2A","4"
"C59, C60","180uF 25V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","PANASONIC, 25SEPF180M","2"
"H1-H6","~","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","~","","6"
"J1-J3","Conn_Coaxial","User_footprint:BNC_TycoElect_5227"," ~","-- valeurs mixtées --","3"
"M1","Hammond_1590BBS","User_footprint:Hammond_1590BBS","","Hammond, 1590BBS","1"
"M2, M3","Battery_3x_AA","User_footprint:Battery_Holder_3x_AA_no_pin","","Multicomp, MP000331","2"
"M4","Switch DPDT","User_footprint:Multicomp, 1MD1T1B5M1QE","","Multicomp, 1MD1T1B5M1QE","1"
"M5","Switch SPDT","User_footprint:Multicomp, 1MS1T1B5M1QE","","Multicomp, 1MS1T1B5M1QE","1"
"R1","1k5","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW12061K50FKEA","1"
"R2","511","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW1206511RFKEA","1"
"R3, R5-R7, R9, R10","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW1206100RFKEA","6"
"R4","2k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW12062K00FKEA","1"
"R8","5k76","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW12065K76FKEA","1"
"R11","499","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW1206499RFKEA","1"
"R12, R17, R22, R23, R27, R28, R30, R31, R35, R36, R38, R39, R43, R44, R46, R47, R51, R52","4k02","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW12064K02FKEA","18"
"R13, R18","2k15","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW12062K15FKEA","2"
"R14, R19","1k69","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW12061K69FKEA","2"
"R15, R20","1k24","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW12061K24FKEA","2"
"R16, R21","49R9","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW120649R9FKEA","2"
"R24, R25, R32, R33, R40, R41, R48, R49","499","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","VISHAY, CRCW0805499RFKEA","8"
"R26, R34, R42, R50","249","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","YAGEO, RC1206FR-07249RL","4"
"R29, R37, R45, R53","10","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","VISHAY, CRCW120610R0FKEAC","4"
"RV1","1k","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","~","BOURNS, 3296X-1-102LF","1"
"RV2","200","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","~","BOURNS, 3296X-1-201LF","1"
"U1","LT6232CGN","Package_SO:SSOP-16_3.9x4.9mm_P0.635mm","https://www.analog.com/media/en/technical-documentation/data-sheets/623012fc.pdf","Linear Tech., LT6232CGN#PBF","1"
"U2","LT1365CS","Package_SO:SO-16_3.9x9.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/13645fa.pdf","Linear Tech., LT1365CS#PBF","1"
"U3, U5, U7, U9","LT1818CS8","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/18189fb.pdf","Linear Tech., LT1818CS8#PBF","4"
"U4, U6, U8, U10","THAT300S14-U","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","THAT Corporation, THAT300S14-U","4"
